Zone,State
South East,Anambra
South East,Enugu
South East,Ebonyi
South East,Imo
South East,Abia
South South,Edo
South South,Delta
South South,Rivers
South South,Bayelsa
South South,Cross River
South South,Akwa lbom
South West,Lagos
South West,Ogun
South West,Oyo
South West,Osun
South West,Ondo
South West,Ekiti
North Central,Kwara
North Central,Kogi
North Central,Plateau
North Central,Nasarawa
North Central,Benue
North Central,Niger
North Central,Federal Capital Territory
North East,Taraba
North East,Adamawa
North East,Borno
North East,Yobe
North East,Bauchi
North East,Gombe
North West,Sokoto
North West,Zamfara
North West,Kebbi
North West,Kaduna
North West,Katsina
North West,Kano
North West,Jigawa
