"formula","mse","rse","cor_coef","rank_cor"
"raw_prev_rate ~ assets_fn13 + assets_fn12 * zone + assets_fn1 * high_hiv",9.3190403685965e-06,0.692277976246387,0.569009954978105,0.30556793742883
"raw_prev_rate ~ assets_fn12 * zone + age_0004_pop * urban + age_1524_pop * urban",9.63433391724162e-06,0.715699999453317,0.548354075895704,0.323755036536423
"raw_prev_rate ~ assets_fn12 * zone + age_1524_pop * urban + assets_fn8 * urban",9.71138585875179e-06,0.721423910931828,0.55525198608921,0.308669613245629
"raw_prev_rate ~ age_1524_pop:zone + assets_fn12:zone + assets_fn8:zone",9.79570763878448e-06,0.72768787255509,0.571058648806369,0.335774030326519
"raw_prev_rate ~ assets_fn12 * zone + assets_fn1 * high_hiv + assets_fn13 * high_hiv",9.89471211371483e-06,0.735042558749506,0.541583987928008,0.251570581163651
"raw_prev_rate ~ assets_fn12 * zone + assets_fn13 * urban + assets_fn1 * high_hiv",1.00160058694733e-05,0.744053035413045,0.559604475450766,0.258796075964149
"raw_prev_rate ~ assets_fn13 + assets_fn17 + assets_fn2 + assets_fn8",1.00357325385998e-05,0.745518458679903,0.521073482904176,0.417087281569187
"raw_prev_rate ~ age_0004_pop:zone + age_1524_pop:zone + assets_fn12:zone",1.00595943362072e-05,0.74729106576217,0.561765545365534,0.400486266686093
"raw_prev_rate ~ age_2534_pop:zone + assets_fn12:zone + assets_fn19:high_hiv",1.02027406417183e-05,0.757924889714717,0.525579646571864,0.362279260033708
"raw_prev_rate ~ assets_fn17 + assets_fn2 + assets_fn5 + assets_fn8",1.03123166808216e-05,0.766064899371842,0.507396988222894,0.40968555518819
"raw_prev_rate ~ assets_fn8 + v445_underweight_2013 * zone + assets_fn12 * zone",1.03360412558118e-05,0.767827312679639,0.505816790370425,0.210297145010568
"raw_prev_rate ~ v394_notVisitedHF_2013 + assets_fn17 + assets_fn2 + assets_fn8",1.03372816404391e-05,0.767919456390327,0.49661814849904,0.394459146632996
"raw_prev_rate ~ assets_fn6 + v445_underweight_2013 * zone + assets_fn12 * zone",1.04124643839624e-05,0.773504511876332,0.501505176744047,0.161269519315487
"raw_prev_rate ~ assets_fn17 + assets_fn2 + assets_fn8 + assets_fn9",1.04150037824204e-05,0.77369315465025,0.489015314232004,0.371866258012904
"raw_prev_rate ~ assets_fn12 * zone + age_1524_pop * urban + assets_fn8 * high_hiv",1.04186736469684e-05,0.773965775682236,0.499985764632807,0.274586425576943
"raw_prev_rate ~ GHS_BUILT_LDS2014_GLOBE_R2018A_54009_1K_V2_0 + assets_fn11 + assets_fn5 + assets_fn8",1.04677886449831e-05,0.777614352154069,0.485791812575459,0.171843414145483
"raw_prev_rate ~ assets_fn17:zone + assets_fn8:urban + assets_fn5:high_hiv",1.05174710841775e-05,0.781305081789322,0.50626921786296,0.366508817965706
"raw_prev_rate ~ age_2534_pop:zone + assets_fn12:zone + assets_fn19:urban",1.05250111001082e-05,0.781865202441551,0.500971604458343,0.365451428482707
"raw_prev_rate ~ age_4554_pop:zone + assets_fn12:zone + assets_fn8:zone",1.0532642509273e-05,0.782432112368277,0.507772220401223,0.319032030179025
"raw_prev_rate ~ age_65up_pop + assets_fn17 + assets_fn2 + assets_fn8",1.05341511496134e-05,0.782544183830618,0.489770049919744,0.360093988435509
"raw_prev_rate ~ assets_fn3 + assets_fn11 * urban + assets_fn5 * high_hiv",1.05443615133251e-05,0.783302675010769,0.490709490991622,0.22890719991136
"raw_prev_rate ~ assets_fn17 + assets_fn2 + assets_fn8",1.05814903659402e-05,0.786060843870665,0.481720905520237,0.403376464606292
"raw_prev_rate ~ assets_fn8:zone + assets_fn11:urban + assets_fn5:urban",1.06171707669786e-05,0.788711412474885,0.498403743199076,0.284772610929838
"raw_prev_rate ~ age_5564_pop + assets_fn17 + assets_fn2 + assets_fn8",1.06192686480398e-05,0.788867256510111,0.496521395568169,0.393754220310996
"raw_prev_rate ~ assets_fn17:zone + assets_fn5:urban + assets_fn8:high_hiv",1.06373049735133e-05,0.790207110229364,0.49653394754766,0.372394952754404
"raw_prev_rate ~ assets_fn17:zone + assets_fn2:urban + assets_fn8:high_hiv",1.06402876514421e-05,0.790428682640109,0.501851401484097,0.430621866951581
"raw_prev_rate ~ assets_fn11 * urban + assets_fn19 * urban + assets_fn5 * urban",1.06468029719891e-05,0.790912682359449,0.474777000844518,0.234476117855158
"raw_prev_rate ~ age_1524_pop * zone + mv149_lessThanSecondaryEduc_2013 * zone + assets_fn12 * zone",1.06736089261882e-05,0.792904000240938,0.646276960128917,0.45991155563067
"raw_prev_rate ~ assets_fn1 * urban + assets_fn11 * urban + assets_fn5 * high_hiv",1.06749023259414e-05,0.793000082254554,0.477062551003924,0.234123654694158
"raw_prev_rate ~ v445_underweight_2013 * zone + assets_fn12 * zone + assets_fn8 * zone",1.06777739394689e-05,0.793213404090576,0.534945316288366,0.053733008894429
"raw_prev_rate ~ assets_fn17 + assets_fn2 + assets_fn7 + assets_fn8",1.06893523316996e-05,0.794073521186825,0.476878671253345,0.388537765528198
"raw_prev_rate ~ hv252_dailySmokingHH_2013 + assets_fn17 + assets_fn2 + assets_fn8",1.06905303796656e-05,0.794161034131244,0.476944052240827,0.396785403495595
"raw_prev_rate ~ assets_fn17:zone + assets_fn5:high_hiv + assets_fn8:high_hiv",1.069627902588e-05,0.794588080373135,0.498036986401586,0.370385912736705
"raw_prev_rate ~ assets_fn0 + assets_fn12 * zone + assets_fn1 * high_hiv",1.07156676082596e-05,0.796028388392111,0.488028505238656,0.317622177535026
"raw_prev_rate ~ assets_fn8 + assets_fn11 * urban + assets_fn5 * urban",1.0733750719217e-05,0.797371717636615,0.467757110931946,0.181853367917879
"raw_prev_rate ~ asin_hv226_solidFuel_2013 + assets_fn17 + assets_fn2 + assets_fn8",1.0759588401166e-05,0.799291106056781,0.473516848178278,0.388079563418898
"raw_prev_rate ~ assets_fn8:zone + assets_fn2:urban + assets_fn17:high_hiv",1.07673158190945e-05,0.799865148129098,0.494695956417324,0.421775041610485
"raw_prev_rate ~ age_1524_pop:zone + asin_v481_uninsured_2013:zone + assets_fn12:zone",1.07692801186248e-05,0.800011068873053,0.559325176597018,0.379056506497302
"raw_prev_rate ~ GHS_BUILT_LDS2014_GLOBE_R2018A_54009_1K_V2_0 + assets_fn17 + assets_fn2 + assets_fn8",1.07699732253484e-05,0.80006255727754,0.474396946406208,0.387938578154498
"raw_prev_rate ~ hv270_poorest_2013 + assets_fn17 + assets_fn2 + assets_fn8",1.07877245352243e-05,0.801381238213618,0.476363436270242,0.394423900316896
"raw_prev_rate ~ assets_fn13 + assets_fn17 + assets_fn7 + assets_fn8",1.07895661184948e-05,0.801518042808213,0.468483695187373,0.267819132885745
"raw_prev_rate ~ assets_fn8 + assets_fn12 * zone + age_0514_pop * urban",1.08024556441056e-05,0.802475559285412,0.491509283301207,0.241208164230256
"raw_prev_rate ~ assets_fn8:zone + assets_fn17:urban + assets_fn5:high_hiv",1.08269180508837e-05,0.80429278346179,0.490904316378002,0.359389062113509
"raw_prev_rate ~ age_2534_pop:zone + assets_fn12:zone + assets_fn1:high_hiv",1.0831312407907e-05,0.804619224432815,0.545946943923588,0.389700893959497
"raw_prev_rate ~ assets_fn17 + assets_fn2 + assets_fn8 + zone",1.0841662708316e-05,0.805388111006683,0.486800699259485,0.416664325775987
"raw_prev_rate ~ assets_fn8:zone + assets_fn17:high_hiv + assets_fn5:high_hiv",1.08420210849137e-05,0.805414733514576,0.493982099233505,0.345819230415015
"raw_prev_rate ~ assets_fn1 + assets_fn17 + assets_fn2 + assets_fn8",1.08423390941347e-05,0.805438357275308,0.464570019815282,0.390123849752697
"raw_prev_rate ~ assets_fn19 + assets_fn11 * urban + assets_fn5 * high_hiv",1.08700456605096e-05,0.807496578394663,0.460352398157084,0.246530357961353
"raw_prev_rate ~ male_pop + assets_fn17 + assets_fn2 + assets_fn8",1.08753599704907e-05,0.807891359360655,0.464784376566085,0.380008157032001
"raw_prev_rate ~ age_0004_pop + assets_fn12 * zone + age_1524_pop * urban",1.08768382801958e-05,0.808001177669243,0.485990781058132,0.33165021134282
"raw_prev_rate ~ assets_fn5 + assets_fn12 * zone + assets_fn1 * high_hiv",1.08803915464984e-05,0.808265137037132,0.480223795723152,0.348991398864013
"raw_prev_rate ~ assets_fn17:zone + assets_fn8:urban + assets_fn2:high_hiv",1.088115717799e-05,0.808322013045666,0.485976672969357,0.417157774201387
"raw_prev_rate ~ GHS_BUILT_LDS2014_GLOBE_R2018A_54009_1K_V2_0 + assets_fn1 + assets_fn11 + assets_fn5",1.0884669531021e-05,0.808582933113824,0.457397750314,0.194506795397774
"raw_prev_rate ~ assets_fn11 * urban + assets_fn3 * urban + assets_fn5 * urban",1.08949863780706e-05,0.809349334557991,0.476475122189294,0.334152699785919
"raw_prev_rate ~ assets_fn8:zone + assets_fn5:urban + assets_fn17:high_hiv",1.09022167430671e-05,0.809886452356536,0.484072489320604,0.351247163094413
"raw_prev_rate ~ v445_underweight_2013 + assets_fn17 + assets_fn2 + assets_fn8",1.09026594936368e-05,0.809919342703209,0.465745428329739,0.386881188671499
"raw_prev_rate ~ assets_fn5:zone + assets_fn8:urban + assets_fn17:high_hiv",1.09175438233025e-05,0.811025045995739,0.48437523731906,0.362525984246408
"raw_prev_rate ~ assets_fn17 + assets_fn18 + assets_fn2 + assets_fn8",1.09195008380281e-05,0.81117042557777,0.459692176220117,0.3840262370674
"raw_prev_rate ~ assets_fn2:zone + assets_fn8:urban + assets_fn17:high_hiv",1.09335311787331e-05,0.812212689103316,0.48608761079365,0.431961226963381
"raw_prev_rate ~ asin_v481_uninsured_2013 + assets_fn17 + assets_fn2 + assets_fn8",1.09340838738187e-05,0.81225374683246,0.465252860522897,0.372782662231504
"raw_prev_rate ~ assets_fn19 + assets_fn11 * urban + assets_fn5 * urban",1.09455014350269e-05,0.813101916370764,0.444855933495211,0.199899481761072
"raw_prev_rate ~ hv252_dailySmokingHH_2013 + assets_fn12 * zone + assets_fn8 * zone",1.09705126864638e-05,0.814959912241937,0.488957464663393,0.162996588804386
