"formula","mse","rse","cor_coef","mse_glm","rse_glm","cor_coef_glm"
"response ~ 1 + zone + age_1524_pop + age_1524_pop:zone + mv149_lessThanSecondaryEduc_2013 + mv149_lessThanSecondaryEduc_2013:zone + assets_fn12 + assets_fn12:zone + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE) + f(CLUSTER2, model = ""iid"")",8.85171018062308e-06,0.657561698177747,0.629195568685903,NA,NA,NA
"response ~ 1 + zone + age_1524_pop + age_1524_pop:zone + mv149_lessThanSecondaryEduc_2013 + mv149_lessThanSecondaryEduc_2013:zone + assets_fn12 + assets_fn12:zone",8.85326775607634e-06,0.65767740485354,0.629272640253436,"1.06736089261884e-05","0.792904000240953","0.646276960128913"
"response ~ 1 + zone + high_hiv + assets_fn13 + assets_fn12 + assets_fn12:zone + assets_fn1 + assets_fn1:high_hiv",1.00480771213543e-05,0.746435493313183,0.520266966993151,"9.3190403685965e-06","0.692277976246387","0.569009954978107"
"response ~ 1 + zone + assets_fn8 + v445_underweight_2013 + v445_underweight_2013:zone + assets_fn12 + assets_fn12:zone",1.05741325191306e-05,0.78551425590694,0.486400571012416,"1.03360412558117e-05","0.767827312679635","0.505816790370428"
"response ~ 1",1.38758766004566e-05,1.03078894303099,-0.987181434922476,"1.38750663726015e-05","1.03072875411908","-0.987194272973204"
"response ~ 1 + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE)",1.412678977279e-05,1.04942837974186,0.0978607446198692,NA,NA,NA
"response ~ 1 + f(zone, model = ""iid"") + age_1524_pop + age_1524_pop:zone + mv149_lessThanSecondaryEduc_2013 + mv149_lessThanSecondaryEduc_2013:zone + assets_fn12 + assets_fn12:zone + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE) + f(CLUSTER2, model = ""iid"")",1.42282381290532e-05,1.05696461308667,0.336366528039828,NA,NA,NA
"response ~ 1 + f(zone, model = ""iid"") + age_1524_pop + age_1524_pop:zone + mv149_lessThanSecondaryEduc_2013 + mv149_lessThanSecondaryEduc_2013:zone + assets_fn12 + assets_fn12:zone + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE)",1.42539990864977e-05,1.05887830191948,0.335235355013838,NA,NA,NA
"response ~ 1 + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE) + f(CLUSTER2, model = ""iid"")",1.42955197152617e-05,1.06196272002652,-0.810493009956975,NA,NA,NA
"response ~ 1 + zone + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE) + f(CLUSTER2, model = ""iid"")",1.42990119559612e-05,1.06222214602195,0.0977247702813646,NA,NA,NA
