"formula","mse","rse","cor_coef","mse_glm","rse_glm","cor_coef_glm"
"response ~ 1 + zone + age_1524_pop + age_1524_pop:zone + mv149_lessThanSecondaryEduc_2013 + mv149_lessThanSecondaryEduc_2013:zone + assets_fn12 + assets_fn12:zone + f(CLUSTER, model = ""bym"", graph.file = NGA.adj, scale.model = TRUE, hyper = list(prec.unstruct = list(prior = ""loggamma"", param = c(1, 0.001)), prec.spatial = list(prior = ""loggamma"", param = c(1, 1e-06))))",8.79637247543614e-06,0.653450859181273,0.629794737289723,NA,NA,NA
"response ~ 1 + zone + age_1524_pop + age_1524_pop:zone + mv149_lessThanSecondaryEduc_2013 + mv149_lessThanSecondaryEduc_2013:zone + assets_fn12 + assets_fn12:zone + f(CLUSTER, model = ""bym"", graph.file = NGA.adj, scale.model = TRUE)",8.81318513844068e-06,0.654699811418814,0.629440010356019,NA,NA,NA
"response ~ 1 + zone + age_1524_pop + age_1524_pop:zone + mv149_lessThanSecondaryEduc_2013 + mv149_lessThanSecondaryEduc_2013:zone + assets_fn12 + assets_fn12:zone + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE) + f(CLUSTER2, model = ""iid"")",8.85171018062308e-06,0.657561698177747,0.629195568685903,NA,NA,NA
"response ~ 1 + zone + age_1524_pop + age_1524_pop:zone + mv149_lessThanSecondaryEduc_2013 + mv149_lessThanSecondaryEduc_2013:zone + assets_fn12 + assets_fn12:zone",8.85326775607634e-06,0.65767740485354,0.629272640253436,1.06736089261884e-05,0.792904000240953,0.646276960128913
"response ~ 1 + age_1524_pop:zone + assets_fn12:zone + assets_fn8:zone",9.94646459217209e-06,0.738887064152965,0.547076616121078,9.79570763878444e-06,0.727687872555087,0.57105864880637
"response ~ 1 + age_0004_pop:zone + age_1524_pop:zone + assets_fn12:zone",9.95042504755433e-06,0.739181272132391,0.546882071852411,1.00595943362073e-05,0.747291065762173,0.561765545365532
"response ~ 1 + zone + urban + v394_notVisitedHF_2013 + v394_notVisitedHF_2013:zone + assets_fn12 + assets_fn12:zone + assets_fn8 + assets_fn8:urban",1.00439226669373e-05,0.746126873843528,0.551503569501132,1.22986635263554e-05,0.913623459047518,0.573626523969687
"response ~ 1 + zone + urban + v394_notVisitedHF_2013 + v394_notVisitedHF_2013:zone + assets_fn12 + assets_fn12:zone + assets_fn8 + assets_fn8:urban + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE) + f(CLUSTER2, model = ""iid"")",1.00478473381654e-05,0.746418423546907,0.551180637570536,NA,NA,NA
"response ~ 1 + zone + high_hiv + assets_fn13 + assets_fn12 + assets_fn12:zone + assets_fn1 + assets_fn1:high_hiv",1.00480771213543e-05,0.746435493313183,0.520266966993151,9.3190403685965e-06,0.692277976246387,0.569009954978107
"response ~ 1 + zone + urban + assets_fn12 + assets_fn12:zone + age_0004_pop + age_0004_pop:urban + age_1524_pop + age_1524_pop:urban",1.01771873682689e-05,0.756026628978596,0.505047922322003,9.63433391724159e-06,0.715699999453315,0.548354075895707
"response ~ 1 + zone + urban + assets_fn12 + assets_fn12:zone + age_1524_pop + age_1524_pop:urban + assets_fn8 + assets_fn8:urban",1.02830011043677e-05,0.763887150683429,0.506232180674321,9.71138585875178e-06,0.721423910931827,0.555251986089211
"response ~ 1 + zone + assets_fn8 + v445_underweight_2013 + v445_underweight_2013:zone + assets_fn12 + assets_fn12:zone",1.05741325191306e-05,0.78551425590694,0.486400571012416,1.03360412558117e-05,0.767827312679635,0.505816790370428
"response ~ 1 + zone + high_hiv + assets_fn12 + assets_fn12:zone + assets_fn1 + assets_fn1:high_hiv + assets_fn13 + assets_fn13:high_hiv",1.06250327273123e-05,0.789295449218355,0.486571483997144,9.8947121137149e-06,0.735042558749512,0.541583987928003
"response ~ 1 + zone + age_1524_pop + f(zone2, age_1524_pop, model = ""iid"") + mv149_lessThanSecondaryEduc_2013 + f(zone3, mv149_lessThanSecondaryEduc_2013, model = ""iid"") + assets_fn12 + assets_fn12:zone + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE) + f(CLUSTER2, model = ""iid"")",1.27872185411978e-05,0.949916453130883,0.322576328406897,NA,NA,NA
"response ~ 1 + f(zone, model = ""iid"") + age_1524_pop + age_1524_pop:zone + mv149_lessThanSecondaryEduc_2013 + f(zone2, mv149_lessThanSecondaryEduc_2013, model = ""iid"") + assets_fn12 + assets_fn12:zone + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE)",1.30119003959216e-05,0.966607259644779,0.3106035932738,NA,NA,NA
"response ~ 1 + age_4554_pop",1.37578571769415e-05,1.02202170472777,0.0853132120325859,1.37581826038521e-05,1.02204587952197,0.0857638307973336
"response ~ 1 + urban",1.38212606864916e-05,1.02673172330717,0.0722852170362417,1.38187939971089e-05,1.02654848182882,0.0722269139913518
"response ~ 1",1.38758766004566e-05,1.03078894303099,-0.987181434922476,1.38750663726015e-05,1.03072875411908,-0.987194272973204
"response ~ 1 + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE)",1.412678977279e-05,1.04942837974186,0.0978607446198692,NA,NA,NA
"response ~ 1 + high_hiv",1.41680255833243e-05,1.05249163972749,-0.0785802742198375,1.41656301153514e-05,1.0523136890314,-0.0812082660200132
"response ~ 1 + f(zone, model = ""iid"") + age_1524_pop + age_1524_pop:zone + mv149_lessThanSecondaryEduc_2013 + mv149_lessThanSecondaryEduc_2013:zone + assets_fn12 + assets_fn12:zone + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE) + f(CLUSTER2, model = ""iid"")",1.42282381290532e-05,1.05696461308667,0.336366528039828,NA,NA,NA
"response ~ 1 + f(zone, model = ""iid"") + age_1524_pop + age_1524_pop:zone + mv149_lessThanSecondaryEduc_2013 + mv149_lessThanSecondaryEduc_2013:zone + assets_fn12 + assets_fn12:zone + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE)",1.42539990864977e-05,1.05887830191948,0.335235355013838,NA,NA,NA
"response ~ 1 + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE) + f(CLUSTER2, model = ""iid"")",1.42955197152617e-05,1.06196272002652,-0.810493009956975,NA,NA,NA
"response ~ 1 + zone + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE) + f(CLUSTER2, model = ""iid"")",1.42990119559612e-05,1.06222214602195,0.0977247702813646,NA,NA,NA
"response ~ 1 + male_pop",1.4311230154557e-05,1.06312979203084,-0.531580909514034,1.43146965100392e-05,1.06338729510661,-0.534485325853322
"response ~ 1 + zone",1.45682673882106e-05,1.08222416322096,0.0903183786185842,1.45616196468471e-05,1.08173032643565,0.0906051045640103
"response ~ 1 + f(zone, model = ""iid"") + age_1524_pop + f(zone2, age_1524_pop, model = ""iid"") + mv149_lessThanSecondaryEduc_2013 + f(zone3, mv149_lessThanSecondaryEduc_2013, model = ""iid"") + assets_fn12 + f(zone4, assets_fn12, model = ""iid"") + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE) + f(CLUSTER2, model = ""iid"")",1.46354947663223e-05,1.08721824323636,-0.0483807268964187,NA,NA,NA
"response ~ 1 + zone + age_1524_pop + f(zone2, age_1524_pop, model = ""iid"") + mv149_lessThanSecondaryEduc_2013 + mv149_lessThanSecondaryEduc_2013:zone + assets_fn12 + assets_fn12:zone + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE) + f(CLUSTER2, model = ""iid"")",1.49348004058527e-05,1.1094525822045,0.250037189488685,NA,NA,NA
"response ~ 1 + f(zone, model = ""iid"") + age_1524_pop + f(zone2, age_1524_pop, model = ""iid"") + mv149_lessThanSecondaryEduc_2013 + mv149_lessThanSecondaryEduc_2013:zone + assets_fn12 + f(zone4, assets_fn12, model = ""iid"") + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE) + f(CLUSTER2, model = ""iid"")",1.5101307935245e-05,1.12182182741842,0.050328415779312,NA,NA,NA
"response ~ 1 + zone + age_1524_pop + f(zone2, age_1524_pop, model = ""iid"") + mv149_lessThanSecondaryEduc_2013 + f(zone3, mv149_lessThanSecondaryEduc_2013, model = ""iid"") + assets_fn12 + f(zone4, assets_fn12, model = ""iid"") + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE) + f(CLUSTER2, model = ""iid"")",1.54645377483773e-05,1.14880486322487,0.035304245288197,NA,NA,NA
"response ~ 1 + f(zone, model = ""iid"") + age_1524_pop + f(zone2, age_1524_pop, model = ""iid"") + mv149_lessThanSecondaryEduc_2013 + f(zone3, mv149_lessThanSecondaryEduc_2013, model = ""iid"") + assets_fn12 + assets_fn12:zone + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE) + f(CLUSTER2, model = ""iid"")",1.55118189321333e-05,1.15231721223404,0.0286641467659765,NA,NA,NA
"response ~ 1 + zone + age_1524_pop + f(zone2, age_1524_pop, model = ""iid"") + mv149_lessThanSecondaryEduc_2013 + mv149_lessThanSecondaryEduc_2013:zone + assets_fn12 + f(zone4, assets_fn12, model = ""iid"") + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE) + f(CLUSTER2, model = ""iid"")",1.76920573420967e-05,1.31427927855047,-0.0189111078803605,NA,NA,NA
"response ~ 1 + f(zone, model = ""iid"") + age_1524_pop + age_1524_pop:zone2 + mv149_lessThanSecondaryEduc_2013 + mv149_lessThanSecondaryEduc_2013:zone + assets_fn12 + f(zone2, assets_fn12, model = ""iid"") + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE)",2.30422362264937e-05,1.71172481630431,-0.00153562182764412,NA,NA,NA
"response ~ 1 + f(zone, model = ""iid"") + age_1524_pop + f(zone2, age_1524_pop, model = ""iid"") + mv149_lessThanSecondaryEduc_2013 + mv149_lessThanSecondaryEduc_2013:zone + assets_fn12 + assets_fn12:zone + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE) + f(CLUSTER2, model = ""iid"")",2.33067064883699e-05,1.73137136041478,-0.0791854991602373,NA,NA,NA
"response ~ 1 + f(zone, model = ""iid"") + age_1524_pop + f(zone2, age_1524_pop, model = ""iid"") + mv149_lessThanSecondaryEduc_2013 + mv149_lessThanSecondaryEduc_2013:zone + assets_fn12 + assets_fn12:zone + f(CLUSTER, model = ""besag"", graph = NGA.adj, scale.model = TRUE)",2.68018821753348e-05,1.9910153854961,-0.0609517336712406,NA,NA,NA
