"","CLUSTER","raw_prev_rate","urban","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode","fit","sq_err","glm_fit","glm_sq_err"
"105",1,0.00145772594752187,FALSE,0.0034770927355802,0.00315819631769751,0.000555690922542569,0.00263879064788806,0.0114420388874918,0.00159667336632625,0.00263879064788806,1.39491382645108e-06,NA,NA
"112",2,0.00625978090766823,FALSE,0.00340029604616194,0.00314084491680627,0.000529683788014955,0.00256183646746546,0.0113149854140613,0.00152624445506324,0.00256183646746546,1.36747930828266e-05,NA,NA
"265",3,0.00265957446808511,TRUE,0.00345515942399685,0.00317226869730117,0.000543512895220112,0.00261003363748594,0.0114512379385512,0.00156390839744028,0.00261003363748594,2.45429389645553e-09,NA,NA
"444",4,0.00138888888888889,FALSE,0.00347779084965269,0.00315683568120959,0.000556441987312526,0.00263961277094777,0.0114410599182961,0.00159689513381122,0.00263961277094777,1.56431022915245e-06,NA,NA
"458",5,0.0013550135501355,FALSE,0.00347759908171358,0.00314864327969862,0.000558287469678542,0.00264158102830895,0.0114254270942163,0.00160028178668407,0.00264158102830895,1.6552558758936e-06,NA,NA
"469",6,0,TRUE,0.00348283503126088,0.00309686903395264,0.000575146490611331,0.00266492377568809,0.0113106185508901,0.0016383451664687,0.00266492377568809,7.10181873022766e-06,NA,NA
"494",7,0,FALSE,0.00349520496317595,0.00305752509733124,0.000591190042688456,0.0026927420428115,0.01122468388513,0.00167870542262858,0.0026927420428115,7.25085970912467e-06,NA,NA
"515",8,0.00307692307692308,FALSE,0.00345012242648714,0.00316156270197664,0.00054373448707379,0.00260727299732442,0.0114267085238068,0.00156312431277691,0.00260727299732442,2.20571197267027e-07,NA,NA
"520",9,0,FALSE,0.00349380806367375,0.00306345181117701,0.000588943189833334,0.00268895396755405,0.011239181573982,0.00167292702288645,0.00268895396755405,7.23047343962465e-06,NA,NA
"596",10,0,FALSE,0.00349599773018722,0.00305171762593033,0.000593132833811361,0.002695597948415,0.0112121437659901,0.00168297848787335,0.002695597948415,7.26624829949916e-06,NA,NA
"27",11,0.011826544021025,FALSE,0.00330569693750525,0.00287331096055055,0.000564448215752267,0.00255663950192099,0.0105521864417917,0.00161068853012102,0.00255663950192099,8.59311297933049e-05,NA,NA
"733",12,0.00166944908180301,FALSE,0.00347225043773087,0.00316439315819111,0.000552207293961987,0.0026313058491068,0.011451407155545,0.0015873513644601,0.0026313058491068,9.25168440808093e-07,NA,NA
"77",13,0.0112721417069243,FALSE,0.00332277718545263,0.00292534066149887,0.000556359771580363,0.00255406472982161,0.0107126730018429,0.00158562846833022,0.00255406472982161,7.6004866178688e-05,NA,NA
"90",14,0.00122100122100122,FALSE,0.00348254322565562,0.00314146787155302,0.000562137656320753,0.00265039092952262,0.0114097792794073,0.00161278501131332,0.00265039092952262,2.04315493882689e-06,NA,NA
"18",15,0.00407055630936228,FALSE,0.00343558600643148,0.00319331132413079,0.000530079870762729,0.00258183716010427,0.0114779227669258,0.00153081069878367,0.00258183716010427,2.2162847053675e-06,NA,NA
"271",16,0.00165562913907285,TRUE,0.00347188111226981,0.00316291294685296,0.000552459993435725,0.00263135910031328,0.0114482765293579,0.0015877105176298,0.00263135910031328,9.52048957262246e-07,NA,NA
"266",17,0,FALSE,0.00349741411604568,0.00304731411022602,0.000594930521929602,0.00269874533889283,0.0112025144945792,0.00168768038589772,0.00269874533889283,7.28322640419578e-06,NA,NA
"651",18,0.00249376558603491,FALSE,0.00346109358395375,0.00319396602010679,0.000539966512890679,0.00260930784404028,0.0115072006065927,0.00155733822707069,0.00260930784404028,1.33500133849797e-08,NA,NA
"79",19,0.00130718954248366,FALSE,0.00347998450798431,0.00315244208860243,0.000558412914822008,0.00264401185855369,0.0114306860745714,0.00160364350714402,0.00264401185855369,1.78709390474284e-06,NA,NA
"307",20,0,FALSE,0.00349818072170717,0.00304060537685804,0.000597162843360932,0.00270184434832717,0.0111877004365755,0.0016926017738637,0.00270184434832717,7.29996288258746e-06,NA,NA
"314",21,0.00261096605744125,FALSE,0.00345922394207207,0.00319523783068129,0.000538926781653703,0.00260693667865986,0.0115072923251084,0.00155483576970949,0.00260693667865986,1.62358933638841e-11,NA,NA
"333",22,0.00313479623824451,FALSE,0.00345013937191029,0.00319315480713006,0.000535948380768127,0.00259774019828871,0.0114930428801069,0.0015464589366369,0.00259774019828871,2.88429190053003e-07,NA,NA
"351",23,0.00420757363253857,TRUE,0.00343063063675754,0.00318084913606136,0.000530746824817219,0.0025796081851844,0.0114505269801656,0.00153071031151558,0.0025796081851844,2.65027149777907e-06,NA,NA
"350",24,0,TRUE,0.00348006998461116,0.00310470242211387,0.000572155599994787,0.00265953851508221,0.0113236098030476,0.00163145185018727,0.00265953851508221,7.07314511320571e-06,NA,NA
"358",25,0.00687757909215956,TRUE,0.00338357811358526,0.00310739906931067,0.000531506420437397,0.00255451022151323,0.0112220565150715,0.0015280512037686,0.00255451022151323,1.86889244603514e-05,NA,NA
"369",26,0,TRUE,0.00349527285787206,0.00305773385021689,0.00059118767542034,0.0026925396628006,0.011226614904317,0.00167791169650826,0.0026925396628006,7.24976983575436e-06,NA,NA
"372",27,0.00605143721633888,TRUE,0.00340104522280572,0.00314931747403641,0.000527403040295316,0.00255817970717978,0.0113438274275268,0.00151813561020744,0.00255817970717978,1.22028480252964e-05,NA,NA
"382",28,0,TRUE,0.00348867694296805,0.00308434359991477,0.000581162699883834,0.00267613983196273,0.0112831599052855,0.0016541185493613,0.00267613983196273,7.16172440021749e-06,NA,NA
"393",29,0.00561009817671809,TRUE,0.00340672404842609,0.00315914936485109,0.000527561016997524,0.00256213893152284,0.0113674458113858,0.00152092236019966,0.00256213893152284,9.29005556037121e-06,NA,NA
"408",30,0.0027359781121751,FALSE,0.00345702928622404,0.00319363199016882,0.000538451194620055,0.00260495174626009,0.0115023891814688,0.00155312611104321,0.00260495174626009,1.7167908564895e-08,NA,NA
"411",31,0,FALSE,0.00349496910022888,0.00305428317485536,0.000592106675599113,0.00269292352765464,0.0112198656577971,0.00167871297973235,0.00269292352765464,7.25183712579593e-06,NA,NA
"413",32,0,TRUE,0.00348359915333744,0.00309249795133645,0.000576729009375247,0.0026669115914128,0.0113010555328672,0.00164103006235414,0.0026669115914128,7.11241743641195e-06,NA,NA
"427",33,0.00416088765603329,FALSE,0.00343287673476488,0.00319028639590092,0.00052985051675357,0.00257993495960779,0.0114678005593628,0.00152979327144213,0.00257993495960779,2.49941142833505e-06,NA,NA
"692",34,0.0027359781121751,FALSE,0.00345760306689848,0.00319563184564171,0.000538109224665716,0.00260463463995246,0.0115093434598459,0.00155185134141636,0.00260463463995246,1.72511076954997e-08,NA,NA
