"","CLUSTER","raw_prev_rate","urban","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode","fit","sq_err","glm_fit","glm_sq_err"
"105",1,0.00145772594752187,FALSE,0.00143179461661762,0.000575652763935289,0.000542113649174308,0.00135483321791558,0.00276718654778218,0.0012070250498858,0.00135483321791558,1.05869138058331e-08,NA,NA
"112",2,0.00625978090766823,FALSE,0.00113061343752107,0.000608344520251419,0.00030154283632971,0.00101512075961295,0.00262713289610565,0.000797741539062759,0.00101512075961295,2.75064600685992e-05,NA,NA
"265",3,0.00265957446808511,TRUE,0.00642686178738863,0.0110135293008843,0.000232343329507988,0.00303197149333318,0.0338389385291782,0.000567407187877273,0.00303197149333318,1.38679544413609e-07,NA,NA
"444",4,0.00138888888888889,FALSE,0.000981517704747452,0.000397244507004874,0.000364916470251778,0.000929608060804733,0.00189997015417227,0.000829684476984127,0.000929608060804733,2.10938879045669e-07,NA,NA
"458",5,0.0013550135501355,FALSE,0.00212058839561924,0.000958669233771749,0.00071466877066354,0.00196815027191129,0.00440411353156757,0.0016777679482636,0.00196815027191129,3.75936639589961e-07,NA,NA
"469",6,0,TRUE,0.0138081985957372,0.0491983274349061,1.14620918793532e-05,0.00138119728238144,0.119274260423788,2.83649431095644e-06,0.00138119728238144,1.90770593285788e-06,NA,NA
"494",7,0,FALSE,0.00147926890471237,0.000828480274522925,0.000358990263055158,0.00132054207468666,0.00351697502856976,0.001014983012049,0.00132054207468666,1.74383137101775e-06,NA,NA
"515",8,0.00307692307692308,FALSE,0.000322920206461704,0.000388316714829378,1.59133734285762e-05,0.000199955242595485,0.00136375280587465,4.43619612555163e-05,0.000199955242595485,8.27694391975561e-06,NA,NA
"520",9,0,FALSE,0.00173932180601759,0.00139309211128303,0.000236652827720928,0.0013691218523582,0.00540152879258145,0.000750182946009759,0.0013691218523582,1.87449464660474e-06,NA,NA
"596",10,0,FALSE,0.00362629407693943,0.00151904966183922,0.00138045959223726,0.00338728329254763,0.00724389303601438,0.00293560585611057,0.00338728329254763,1.14736881039723e-05,NA,NA
"27",11,0.011826544021025,FALSE,0.00459084463514588,0.00130572965801943,0.00241852768796427,0.00446145019516455,0.00750529819165052,0.00421063887670008,0.00446145019516455,5.42446070637278e-05,NA,NA
"733",12,0.00166944908180301,FALSE,0.00736640231749268,0.00200678930050668,0.00406757416369118,0.00715263568041548,0.0118863552946988,0.00673676081231039,0.00715263568041548,3.00653352752034e-05,NA,NA
"77",13,0.0112721417069243,FALSE,0.00709087083435942,0.00233754192999102,0.00332907699700483,0.00681915005752842,0.0124142229503391,0.00629449361873493,0.00681915005752842,1.98291346295894e-05,NA,NA
"90",14,0.00122100122100122,FALSE,0.00164520608312024,0.000934885267999819,0.000396036589004222,0.00146110403703133,0.00395921076307529,0.00111136876211126,0.00146110403703133,5.76493622655888e-08,NA,NA
"18",15,0.00407055630936228,FALSE,0.00571971196730815,0.00194779926981806,0.00264961342503076,0.00547148070438508,0.0102127989518313,0.00499419277849559,0.00547148070438508,1.96258916057001e-06,NA,NA
"271",16,0.00165562913907285,TRUE,0.0016882864446136,0.0245156156631196,2.53259478115184e-13,1.22112463174293e-07,0.00378354935750422,2.51620829956813e-22,1.22112463174293e-07,2.74070351515401e-06,NA,NA
"266",17,0,FALSE,0.00104867235957343,0.000724497865288236,0.000200185390462837,0.000872520139416314,0.00292081619193759,0.000572254002799072,0.000872520139416314,7.61291393687064e-07,NA,NA
"651",18,0.00249376558603491,FALSE,0.00816963491062263,0.00291032284313904,0.00368129666363362,0.00776663484802737,0.0149633884553905,0.00699610632341799,0.00776663484802737,2.78031502540649e-05,NA,NA
"79",19,0.00130718954248366,FALSE,0.00189036806219997,0.00105600653694166,0.000471148486435645,0.00168450560694961,0.00449753626527828,0.00129519688385362,0.00168450560694961,1.42367412504069e-07,NA,NA
"307",20,0,FALSE,0.00239368606070741,0.000607334399552147,0.00137047291521314,0.00233716828717101,0.00374011919556193,0.00222708837441914,0.00233716828717101,5.46235560255786e-06,NA,NA
"314",21,0.00261096605744125,FALSE,0.00316443759298318,0.000866005361877674,0.00171132969897953,0.00308253648009772,0.00508786967687391,0.00292397235745371,0.00308253648009772,2.22378663524399e-07,NA,NA
"333",22,0.00313479623824451,FALSE,0.00423458333392392,0.00403419567779655,0.000519761633153819,0.00305009785797795,0.0149808700879396,0.00146965711165356,0.00305009785797795,7.17381561977833e-09,NA,NA
"351",23,0.00420757363253857,TRUE,0.00416183820712521,0.00255119502648707,0.00101432760055674,0.00358180079591696,0.0106636062120601,0.00258363655717567,0.00358180079591696,3.91591643053461e-07,NA,NA
"350",24,0,TRUE,0.00206347707300513,0.00107470763975456,0.000629927119630463,0.00184854914344777,0.00473553390844583,0.00146331164080346,0.00184854914344777,3.41713393574149e-06,NA,NA
"358",25,0.00687757909215956,TRUE,0.00171193037979038,0.000492504627026533,0.000893515018192869,0.00166285805622977,0.0028119716148885,0.00156801300252094,0.00166285805622977,2.71933154825687e-05,NA,NA
"369",26,0,TRUE,0.00866289637878309,0.00396763581427517,0.00297590669686802,0.00798442275923239,0.0182505764782882,0.00670996984981911,0.00798442275923239,6.37510067981482e-05,NA,NA
"372",27,0.00605143721633888,TRUE,0.00171071951516638,0.000667228797283182,0.000673256484482815,0.00162307865581118,0.00325429913947528,0.00145484504064648,0.00162307865581118,1.9610359540599e-05,NA,NA
"382",28,0,TRUE,0.00439869420754593,0.00147563183567946,0.0020053233678556,0.00423522811411442,0.00773554169725872,0.00392152970527629,0.00423522811411442,1.79371571785852e-05,NA,NA
