"","CLUSTER","raw_prev_rate","urban","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode","fit","sq_err","glm_fit","glm_sq_err"
"105",1,0.00145772594752187,FALSE,0.000659094482812936,0.000448128686025507,0.000113997740108967,0.000555895890266713,0.00180203448895547,0.000361146248866015,0.000555895890266713,8.13297452168839e-07,NA,NA
"112",2,0.00625978090766823,FALSE,0.00109418350170813,0.000472373058598611,0.000387719999375032,0.00102328831251017,0.00220960362648594,0.000887666763440723,0.00102328831251017,2.74208546991452e-05,NA,NA
"265",3,0.00265957446808511,TRUE,0.00996400707962176,0.00926130566890245,0.00115695404556892,0.00725592794476291,0.0347709792262733,0.00343123046301488,0.00725592794476291,2.11264652825681e-05,NA,NA
"444",4,0.00138888888888889,FALSE,0.00115868400494854,0.000517819298574258,0.000378589542442646,0.00108423506055421,0.00237211743320447,0.000939488004579294,0.00108423506055421,9.2813955118974e-08,NA,NA
"458",5,0.0013550135501355,FALSE,0.00239402280528359,0.000810881667154278,0.00107694979129597,0.00230510629976193,0.00422620132921537,0.00213457097863748,0.00230510629976193,9.02676232892702e-07,NA,NA
"469",6,0,TRUE,0.00199621949755959,0.00119588579024885,0.000462187552453323,0.001741136210833,0.00500500013198561,0.00127569223271466,0.001741136210833,3.03155530467391e-06,NA,NA
"494",7,0,FALSE,0.00122849738125977,0.000621841335231454,0.000341009751187681,0.00112376820363046,0.00272345804297384,0.000919160657937116,0.00112376820363046,1.26285497549082e-06,NA,NA
"515",8,0.00307692307692308,FALSE,0.00224255260298471,0.00077437194876669,0.000994564521827724,0.00215428622301957,0.00400125040840605,0.0019848559706137,0.00215428622301957,8.51258764180961e-07,NA,NA
"520",9,0,FALSE,0.000887671417238654,0.000979796149610457,6.68185567218474e-05,0.00058655148875733,0.00350579115012971,0.000203384928709308,0.00058655148875733,3.4404264896344e-07,NA,NA
"596",10,0,FALSE,0.00130088983450575,0.000583124050132034,0.000423371336048376,0.00121676084551239,0.00266806014493849,0.001053128143549,0.00121676084551239,1.48050695517202e-06,NA,NA
"27",11,0.011826544021025,FALSE,0.00292815749785956,0.000706272782994428,0.00171133175890806,0.00287162421784671,0.00446960247206438,0.00276191322896819,0.00287162421784671,8.01905886813547e-05,NA,NA
"733",12,0.00166944908180301,FALSE,0.00521368145116359,0.00117169192846568,0.00320603497314112,0.00511532810646717,0.00778321595195217,0.00492249392563985,0.00511532810646717,1.18740822526204e-05,NA,NA
"77",13,0.0112721417069243,FALSE,0.00269225222810007,0.000774636811564139,0.00139291257781419,0.00261954542666068,0.00441112161909337,0.00247952244719191,0.00261954542666068,7.48674223892318e-05,NA,NA
"90",14,0.00122100122100122,FALSE,0.00540399404733925,0.00262370478083466,0.001951273828484,0.00486581013764265,0.011972360643963,0.00393637377215078,0.00486581013764265,1.32846320388289e-05,NA,NA
"18",15,0.00407055630936228,FALSE,0.00440806725308145,0.000924079814946199,0.00279081613230871,0.00434190883406606,0.00640412668685066,0.0042124505409152,0.00434190883406606,7.36321926631129e-08,NA,NA
"271",16,0.00165562913907285,TRUE,0.0396409807511401,0.0930996885580181,0.000175789821523111,0.00796467730668388,0.321121444046035,0.000189221142794596,0.00796467730668388,3.98040887812362e-05,NA,NA
"266",17,0,FALSE,0.00437269138172832,0.000855010817415058,0.00284810062019084,0.00432116220150305,0.00619349799098165,0.00422098820455758,0.00432116220150305,1.86724427716986e-05,NA,NA
"651",18,0.00249376558603491,FALSE,0.00377243227936525,0.000827091328524342,0.00231993797955007,0.00371534441794513,0.00555309307457593,0.00360471944108665,0.00371534441794513,1.49225484257115e-06,NA,NA
"79",19,0.00130718954248366,FALSE,0.00437341494973395,0.00114438869351205,0.00242262183744686,0.00427550083512798,0.00688809777759663,0.0040862221292337,0.00427550083512798,8.81087193003979e-06,NA,NA
"307",20,0,FALSE,0.00316908120393484,0.000793094166422407,0.00181455012576619,0.00310163510545985,0.00491073454091082,0.00297062634012913,0.00310163510545985,9.62014032742096e-06,NA,NA
"314",21,0.00261096605744125,FALSE,0.00231831530365575,0.000650483959928543,0.00123218778295026,0.00225515873292439,0.00376674106011014,0.00213285977176574,0.00225515873292439,1.26598852179848e-07,NA,NA
"333",22,0.00313479623824451,FALSE,0.00415279940814421,0.000907464352767376,0.00261641023488972,0.00407024300695019,0.00615901838849064,0.00390838097320762,0.00407024300695019,8.75060657081899e-07,NA,NA
"351",23,0.00420757363253857,TRUE,0.00717057064083788,0.00340289602003557,0.00252385367293108,0.0065177803602466,0.0155713109081313,0.00534232603895834,0.0065177803602466,5.33705512474742e-06,NA,NA
"350",24,0,TRUE,0.00426740383316456,0.00084508348113149,0.00278265484046817,0.0042086212490124,0.00608795234445895,0.00409317376331253,0.0042086212490124,1.77124928176387e-05,NA,NA
"358",25,0.00687757909215956,TRUE,0.00220175970623032,0.000579232380220336,0.00120712647887691,0.0021550134836569,0.00346718603678897,0.00206547469473095,0.0021550134836569,2.23026259266121e-05,NA,NA
"369",26,0,TRUE,0.00308232957989737,0.00125733882981895,0.00121365124584534,0.00288697845914823,0.00607285909884573,0.00251783992090895,0.00288697845914823,8.33464462358587e-06,NA,NA
"372",27,0.00605143721633888,TRUE,0.00162126615940969,0.000656568782607141,0.000634302048162795,0.00152308142720118,0.00317260695500052,0.00133642110154579,0.00152308142720118,2.05060061530169e-05,NA,NA
"382",28,0,TRUE,0.00308998174913386,0.000989864268180434,0.00149381792228242,0.00297563294189145,0.00534138333801462,0.00275490511472436,0.00297563294189145,8.85439140486957e-06,NA,NA
"393",29,0.00561009817671809,TRUE,0.00258463886793667,0.000500978505441345,0.00169794832783383,0.00255206148611194,0.00365769669242682,0.00248828388852022,0.00255206148611194,9.35158840109338e-06,NA,NA
"408",30,0.0027359781121751,FALSE,0.00289707919799806,0.000582047075693046,0.00185941157985649,0.00286203786923489,0.00413643404470017,0.00279429571605949,0.00286203786923489,1.58910623499736e-08,NA,NA
"411",31,0,FALSE,0.00337538738449253,0.000686505248735772,0.0021621591333853,0.00333034887617042,0.00484673979522873,0.00324258114376862,0.00333034887617042,1.10912236370096e-05,NA,NA
"413",32,0,TRUE,0.00244228485718525,0.000518458761641166,0.00152911017907445,0.00240728080525572,0.00355662740911275,0.00233930934149604,0.00240728080525572,5.79500087535262e-06,NA,NA
"427",33,0.00416088765603329,FALSE,0.00233447210863128,0.000592295119901999,0.00131797148303453,0.00228604336783433,0.00363004996903064,0.0021925012325213,0.00228604336783433,3.51504110499226e-06,NA,NA
"692",34,0.0027359781121751,FALSE,0.00194612022693373,0.000687096437528844,0.000877543277272768,0.00185398719407086,0.00354294546148615,0.00167755535766752,0.00185398719407086,7.77907979618364e-07,NA,NA
"641",35,0.0027359781121751,TRUE,0.00233472559217746,0.000609760350779594,0.00130205070528024,0.00228006751668188,0.00368107409578748,0.00217400355528502,0.00228006751668188,2.07854471082985e-07,NA,NA
"679",36,0.00280898876404494,FALSE,0.00228453757147438,0.000627449344659883,0.00123409221620297,0.00222433430205769,0.0036803732151302,0.00210762143719092,0.00222433430205769,3.41820839921598e-07,NA,NA
"686",37,0.00281293952180028,FALSE,0.00218158150942313,0.000667296797450252,0.00109311703067217,0.0021083914036001,0.00368972649351779,0.00196687578428188,0.0021083914036001,4.96388050859409e-07,NA,NA
"1",38,0,TRUE,0.029116007081061,0.0124025420388579,0.0112373036286171,0.0270084240970991,0.059065611787016,0.023044613734975,0.0270084240970991,0.000729454972208764,NA,NA
"55",39,0.0054249547920434,TRUE,0.00222342004872118,0.000965367422222795,0.00076600897370843,0.00208420675045731,0.00448799226020311,0.00181558578749365,0.00208420675045731,1.11605974773613e-05,NA,NA
"64",40,0.0157068062827225,TRUE,0.0012718286482053,0.00129092210128974,8.14677212924015e-05,0.000882463410551102,0.00474169866682332,0.000245472550413286,0.000882463410551102,0.000219761141591699,NA,NA
