"","CLUSTER","raw_prev_rate","urban","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode","fit","sq_err","glm_fit","glm_sq_err"
"105",1,0.00145772594752187,FALSE,0.000563062186051403,0.000481027194986275,5.85955698494017e-05,0.000431575620995389,0.0018328286204025,0.000195962341408168,0.000431575620995389,1.0529844926304e-06,NA,NA
"112",2,0.00625978090766823,FALSE,0.00416349031547038,0.00901312283707171,0.000141032079008763,0.00170429282069671,0.023591497161925,0.000327160174352551,0.00170429282069671,2.07524717105394e-05,NA,NA
"265",3,0.00265957446808511,TRUE,0.00995702813227978,0.0130871537239615,0.000482911629265992,0.00573489116053488,0.0450823121473953,0.00133260579958295,0.00573489116053488,9.45757275886019e-06,NA,NA
"444",4,0.00138888888888889,FALSE,0.000620772161970215,0.000407079338565698,0.000110040033783818,0.000531705818535814,0.00164616436699012,0.00035488370091882,0.000531705818535814,7.34762816099927e-07,NA,NA
"458",5,0.0013550135501355,FALSE,0.00210014376152448,0.000788146355729078,0.000851933041142298,0.00200426661657976,0.00390477353225325,0.00182023715885322,0.00200426661657976,4.21529544287271e-07,NA,NA
"469",6,0,TRUE,0.000521602085276931,0.000991359527986452,1.90597820426539e-05,0.000263168462994997,0.00255183008628712,4.88726129466594e-05,0.000263168462994997,6.92576399151492e-08,NA,NA
"494",7,0,FALSE,0.00110823459054485,0.00066120735988892,0.000234866485747739,0.000976201994589517,0.00274633089783027,0.000714975609342244,0.000976201994589517,9.52970334240552e-07,NA,NA
"515",8,0.00307692307692308,FALSE,0.00170639353830559,0.000695115089639461,0.000635078344052481,0.00161263797179509,0.00332036427126459,0.00143235055060256,0.00161263797179509,2.14413086909967e-06,NA,NA
"520",9,0,FALSE,0.000389512781217564,0.000551658988861638,1.31603610188229e-05,0.000212248884109386,0.00183905765333075,3.12871736703904e-05,0.000212248884109386,4.50495888056796e-08,NA,NA
"596",10,0,FALSE,0.00111938554534295,0.000587566838084173,0.000288506472117669,0.00101880902548327,0.00253435630400577,0.000818394127963326,0.00101880902548327,1.03797183040617e-06,NA,NA
"27",11,0.011826544021025,FALSE,0.00459794316501918,0.00237242014903244,0.00137911004480474,0.00414012387524145,0.0104539226634578,0.00330370143082351,0.00414012387524145,5.90810546575072e-05,NA,NA
"733",12,0.00166944908180301,FALSE,0.0112731464044805,0.0033034673001895,0.00587346396271236,0.0109123466185959,0.0187377163228714,0.0102110192114489,0.0109123466185959,8.54311548756528e-05,NA,NA
"77",13,0.0112721417069243,FALSE,0.00256818806752794,0.00090310607114549,0.00111470569268237,0.0024652131820994,0.00461739191423401,0.00226775541306067,0.0024652131820994,7.75619900413745e-05,NA,NA
"90",14,0.00122100122100122,FALSE,0.00267705727746281,0.00292024256112453,0.000414735609433247,0.00204474990145219,0.00839796975974979,0.00119309713485484,0.00204474990145219,6.78561888544722e-07,NA,NA
"18",15,0.00407055630936228,FALSE,0.00507844867058147,0.00119780127469021,0.00310237668371349,0.00498405334045422,0.00758081517808117,0.00483383208438894,0.00498405334045422,8.34476825813782e-07,NA,NA
"271",16,0.00165562913907285,TRUE,1.2202664988841e-05,0.00117375293736891,1.1715300895967e-15,1.60471631196851e-10,4.55274422948411e-06,1.64292411920366e-23,1.60471631196851e-10,2.74110731478412e-06,NA,NA
"266",17,0,FALSE,0.00442739165931606,0.000909808643381233,0.00281902239654198,0.00437341077565355,0.00632159696748373,0.00427151587707595,0.00437341077565355,1.91267218126026e-05,NA,NA
"651",18,0.00249376558603491,FALSE,0.00273128882243161,0.000779972134049453,0.00139493744316043,0.00266902129196374,0.00443316090759737,0.00255215217529902,0.00266902129196374,3.07145624606141e-08,NA,NA
"79",19,0.00130718954248366,FALSE,0.00301515600593257,0.0011102113912216,0.00124269732838494,0.00288487586178038,0.00554381065735723,0.00263509327381603,0.00288487586178038,2.48909412209604e-06,NA,NA
"307",20,0,FALSE,0.00310490988129313,0.000813613930861328,0.00173042296687575,0.00303075997637944,0.00490484261099857,0.00288677144681048,0.00303075997637944,9.18550603442348e-06,NA,NA
"314",21,0.00261096605744125,FALSE,0.0022961505016662,0.000683398331023156,0.00116935337893854,0.00223375406919331,0.00375623090317373,0.00211566435324887,0.00223375406919331,1.42288884077964e-07,NA,NA
"333",22,0.00313479623824451,FALSE,0.00528724946749012,0.00229474597577787,0.00206895238259592,0.00489114886551771,0.0107263460159632,0.00417639833668893,0.00489114886551771,3.08477455132946e-06,NA,NA
"351",23,0.00420757363253857,TRUE,0.00790534335482196,0.00434254411528557,0.00235411300645668,0.00696743135199651,0.0188766280776656,0.00534293071684284,0.00696743135199651,7.61681463165157e-06,NA,NA
"350",24,0,TRUE,0.0051161198585635,0.00153269064425656,0.00259111404957921,0.00495635985961417,0.00855909177383964,0.00464740577131493,0.00495635985961417,2.45655030579946e-05,NA,NA
"358",25,0.00687757909215956,TRUE,0.00216532310052209,0.000580139078434304,0.00117024665423767,0.00211837304695259,0.00343236337804424,0.00202876280869535,0.00211837304695259,2.26500421807346e-05,NA,NA
"369",26,0,TRUE,0.00318038246045971,0.00139335189439863,0.00114222077057984,0.00295500297077074,0.00651340831454837,0.00252936798667265,0.00295500297077074,8.73204255726391e-06,NA,NA
"372",27,0.00605143721633888,TRUE,0.00160142711491944,0.000678735779906172,0.000598065987756615,0.00149523369043053,0.00321484760524969,0.00129643937122145,0.00149523369043053,2.07589905694996e-05,NA,NA
"382",28,0,TRUE,0.00376942341464452,0.00199800375268662,0.0011142193688157,0.00336653728620601,0.00874802918572633,0.00264183899660717,0.00336653728620601,1.13335732994153e-05,NA,NA
