"","CLUSTER","raw_prev_rate","urban","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode","fit","sq_err","glm_fit","glm_sq_err"
"105",1,0.00145772594752187,FALSE,0.000576463704965685,0.000580611361347199,4.06726191672644e-05,0.000402358961686394,0.00213394988103354,0.000126882130106365,0.000402358961686394,1.11379947479146e-06,NA,NA
"112",2,0.00625978090766823,FALSE,0.010899423779696,0.024465091434622,0.000160079634807865,0.00361485332767219,0.0691535248814069,0.000291809099285303,0.00361485332767219,6.9956419034237e-06,NA,NA
"265",3,0.00265957446808511,TRUE,0.00695677172598499,0.00991904122700833,0.000313238497452522,0.00378934181493209,0.0330329122400718,0.000837409894258451,0.00378934181493209,1.27637425800167e-06,NA,NA
"444",4,0.00138888888888889,FALSE,0.000523628547420061,0.000345822647643475,9.08075643246831e-05,0.000447756155121747,0.00139495369737612,0.000295640866379057,0.000447756155121747,8.85730822568016e-07,NA,NA
"458",5,0.0013550135501355,FALSE,0.00194364318166153,0.00114621069208388,0.000457226779737359,0.00170391073498889,0.00481388773756426,0.00126243452318633,0.00170391073498889,1.21729245598618e-07,NA,NA
"469",6,0,TRUE,0.00782965542938213,0.0300776384105753,8.751650272122e-06,0.000898160208497629,0.0629186364395449,2.48475909586751e-06,0.000898160208497629,8.06691760128504e-07,NA,NA
"494",7,0,FALSE,0.00101421445589722,0.000622161678731015,0.00020650645876587,0.000885674333747923,0.00256485765441802,0.000633879238885012,0.000885674333747923,7.84419025459827e-07,NA,NA
"515",8,0.00307692307692308,FALSE,0.00131967277869952,0.000894994747687666,0.000247970662120962,0.0011082234374987,0.00361599121290286,0.000733700075296858,0.0011082234374987,3.8757782702697e-06,NA,NA
"520",9,0,FALSE,0.000324616902106978,0.000461819951838572,1.06914400495313e-05,0.000176092770408196,0.00153704704161269,2.49993503300324e-05,0.000176092770408196,3.10086637900335e-08,NA,NA
"596",10,0,FALSE,0.00102163631568786,0.000547000932184818,0.000256197795244854,0.000925474572842778,0.00234535257035639,0.00073408466605373,0.000925474572842778,8.56503184978522e-07,NA,NA
"27",11,0.011826544021025,FALSE,0.0234520080200865,0.0183733227759758,0.00409264701767249,0.0184337857976233,0.072220724598488,0.0108231818734412,0.0184337857976233,4.36556438944263e-05,NA,NA
"733",12,0.00166944908180301,FALSE,0.00421537478617523,0.00298170567781056,0.000779302182430315,0.00347523623834872,0.0119483506483695,0.0022299096122059,0.00347523623834872,3.26086725474543e-06,NA,NA
"77",13,0.0112721417069243,FALSE,0.00467896133984752,0.00190051510720656,0.00177868366655613,0.00441077035730449,0.00912666519674155,0.00389650107831647,0.00441077035730449,4.70784167973836e-05,NA,NA
"90",14,0.00122100122100122,FALSE,0.00445136322487757,0.00354320874866283,0.000710800047677832,0.00349424970594542,0.013798574145416,0.00202025553700118,0.00349424970594542,5.16765867430108e-06,NA,NA
"18",15,0.00407055630936228,FALSE,0.00122954661021796,0.000818986245616407,0.000229931823647217,0.00104143121126079,0.00331861682579703,0.000697085452865249,0.00104143121126079,9.17559885994839e-06,NA,NA
"271",16,0.00165562913907285,TRUE,0.0266929418402716,0.128288349830013,9.56067710075442e-14,1.3720762362936e-06,0.424893590961448,4.03430395946387e-25,1.3720762362936e-06,2.73656642994463e-06,NA,NA
"266",17,0,FALSE,0.00366876440421448,0.000861626911463333,0.002158053071712,0.00360936663067928,0.00552380290600399,0.00349599690552654,0.00360936663067928,1.30275274746611e-05,NA,NA
"651",18,0.00249376558603491,FALSE,0.00229941603671374,0.000673068026774286,0.001170544450685,0.00223649098874839,0.00379238341523509,0.00211584260474496,0.00223649098874839,6.61902184089405e-08,NA,NA
"79",19,0.00130718954248366,FALSE,0.0019427817961294,0.000764935385225363,0.000769499563868701,0.00183630692702747,0.00372912888927997,0.00163255805108312,0.00183630692702747,2.79965206626487e-07,NA,NA
