"","CLUSTER","raw_prev_rate","urban","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode","fit","sq_err","glm_fit","glm_sq_err"
"105",1,0.00145772594752187,FALSE,0.00488379771119496,0.000773376990360915,0.00347684555708058,0.00484622353924351,0.00650512064526735,0.00477258125234694,0.00484622353924351,1.14819159291034e-05,0.00482374768089112,1.13301023095141e-05
"112",2,0.00625978090766823,FALSE,0.00448669191594816,0.000739179882937339,0.0031466240639663,0.00444925244215363,0.00604114711033802,0.00437601146363961,0.00444925244215363,3.27801332443865e-06,0.00442695523856699,3.35924993331642e-06
"265",3,0.00265957446808511,TRUE,0.00321044468631245,0.000301985234992555,0.00264298401004434,0.00320182455213802,0.0038270105597735,0.00318467886280844,0.00320182455213802,2.94035153655386e-07,0.00319643825451756,2.88222725182583e-07
"444",4,0.00138888888888889,FALSE,0.00324227517844127,0.000304974449330261,0.0026691973766296,0.00323356982890594,0.00386494399324305,0.0032162545950699,0.00323356982890594,3.40284777046217e-06,0.00322813085459103,3.38281100839988e-06
"458",5,0.0013550135501355,FALSE,0.00324395806710659,0.000305132413166207,0.00267058194562065,0.00323524867097127,0.00386694796481203,0.00321792540870876,0.00323524867097127,3.53528410962429e-06,0.00322980649998663,3.5148486048115e-06
"469",6,0,TRUE,0.00324185327592492,0.000303592844205577,0.00267126911939704,0.00323322542656282,0.00386160320823513,0.0032160627131308,0.00323322542656282,1.04537466589723e-05,0.00322783363802647,1.04189099947752e-05
"494",7,0,FALSE,0.00327025020216903,0.000306247751807161,0.00269467696157366,0.00326154678441559,0.00389542031164149,0.00324423369224253,0.00326154678441559,1.06376874269317e-05,0.00325610880590199,1.06022445558725e-05
"515",8,0.00307692307692308,FALSE,0.00320577872781656,0.000301547074407379,0.00263914188568424,0.00319717093924258,0.00382145048269157,0.00318004980551179,0.00319717093924258,1.44595483924103e-08,0.00319179253348648,1.31949920511706e-08
"520",9,0,FALSE,0.00326573349005197,0.000305825574626951,0.00269095420371039,0.00325704190538778,0.00389004225598614,0.00323975235091713,0.00325704190538778,1.06083219734521e-05,0.00325161141804858,1.05729768139839e-05
"596",10,0,FALSE,0.00327345697539661,0.000306547179308335,0.00269731604126027,0.00326474656118636,0.003899233720582,0.0032474196239682,0.00326474656118636,1.06585701087782e-05,0.00325930199019388,1.06230494632818e-05
"27",11,0.011826544021025,FALSE,0.00393085647921536,0.000697183917362321,0.00267548018010683,0.00389268576166824,0.00540507010238186,0.00381819587028215,0.00389268576166824,6.29461068795635e-05,0.00387016229712967,6.33040101363356e-05
"733",12,0.00166944908180301,FALSE,0.00323100732852535,0.000303916356895073,0.00265991748710256,0.00322233224476704,0.00385151556444836,0.00320507723216868,0.00322233224476704,2.41144611781718e-06,0.00321691176470698,2.39464075498036e-06
"77",13,0.0112721417069243,FALSE,0.00306060270801045,0.000295886992341101,0.00250526748692369,0.00305191710839068,0.0036653142962473,0.00303465819671139,0.00305191710839068,6.75720924503372e-05,0.00304650227050716,6.76611441379409e-05
"90",14,0.00122100122100122,FALSE,0.00325155306293807,0.000305846262194802,0.00267684229779202,0.00324282123433024,0.00387600688222006,0.00322545324082404,0.00324282123433024,4.08775616629776e-06,0.0032373684819064,4.06573693085025e-06
"18",15,0.00407055630936228,FALSE,0.00318618985906488,0.000302399267044089,0.00261816579102988,0.0031774793371074,0.00380379921612142,0.00316015728295473,0.0031774793371074,7.97586478371947e-07,0.00317203991003085,8.07331719867513e-07
