"","CLUSTER","raw_prev_rate","urban","mean","sd","X0.025quant","X0.5quant","X0.975quant","mode","fit","sq_err","glm_fit","glm_sq_err"
"105",1,0.00145772594752187,FALSE,0.00265942661809511,0.000343732539185948,0.0020246192616709,0.0026458688598702,0.00337136033774094,0.00261910881558178,0.0026458688598702,1.41168358016358e-06,0.00263757879207883,1.39205273480916e-06
"112",2,0.00625978090766823,FALSE,0.00252001774056305,0.000334247865568905,0.00190389962136033,0.00250646866727798,0.00321352376753348,0.00247976087339844,0.00250646866727798,1.40873527738633e-05,0.00249821556031462,1.41493738624115e-05
"265",3,0.00265957446808511,TRUE,0.00445619832501893,0.000461840027303169,0.00359226770336408,0.00444167066928343,0.00540244872999516,0.00441285617303604,0.00444167066928343,3.1758668703255e-06,0.00443266682727121,3.14385651420414e-06
"444",4,0.00138888888888889,FALSE,0.00266347502822934,0.000344256387015891,0.00202770801485534,0.00264989355483012,0.00337649978923063,0.00262308636573254,0.00264989355483012,1.59013276752555e-06,0.00264159391090268,1.56926987217857e-06
"458",5,0.0013550135501355,FALSE,0.00266562296015906,0.000344532583932413,0.0020293379272256,0.00265203368190679,0.00337921341042029,0.0026252113977962,0.00265203368190679,1.68226122222e-06,0.00264372451494426,1.66077595081833e-06
"469",6,0,TRUE,0.00451111729444407,0.000465019040370637,0.00364099128538051,0.00449657141852454,0.00546368621834639,0.00446771789746207,0.00449657141852454,2.02191545218918e-05,0.00448755066589502,2.01381109789748e-05
"494",7,0,FALSE,0.00270715694819319,0.000346999032488511,0.00206594620083303,0.00269358481555371,0.00342560166214889,0.00266679729696795,0.00269358481555371,7.25539915858153e-06,0.0026852846401721,7.21075359874421e-06
"515",8,0.00307692307692308,FALSE,0.00261719139350097,0.000338281955047489,0.00199246049572267,0.00260384476963952,0.00331784366775305,0.0025775012654541,0.00260384476963952,2.23803084822281e-07,0.00259568851737844,2.31586701300122e-07
"520",9,0,FALSE,0.00270135407605929,0.000346255929058116,0.00206151389791877,0.00268781207750379,0.00341825626439753,0.0026610840056872,0.00268781207750379,7.22433376397523e-06,0.00267952840300132,7.17987246249078e-06
"596",10,0,FALSE,0.00271128248330981,0.000347527718163635,0.00206909925466222,0.00269768786296334,0.003430828381378,0.00267085601070677,0.00269768786296334,7.27751980597969e-06,0.00268937696100425,7.23274843838045e-06
"27",11,0.011826544021025,FALSE,0.00230953175261927,0.000320841727545099,0.0017199213032331,0.0022958864869602,0.00297717639228594,0.00226904116430456,0.0022958864869602,9.08334330316261e-05,0.00228761101641704,9.09912428663991e-05
"733",12,0.00166944908180301,FALSE,0.00264912411501,0.000342404345899652,0.002016778464548,0.00263561535908643,0.0033583137675585,0.0026089517372504,0.00263561535908643,9.334772753597e-07,0.00262736017100161,9.17593654809645e-07
"77",13,0.0112721417069243,FALSE,0.0023842695511043,0.000324981211035889,0.00178630080034781,0.00237071879166493,0.00305973432413584,0.00234404309464542,0.00237071879166493,7.92353299163046e-05,0.00236248551306065,7.93819734928529e-05
"90",14,0.00122100122100122,FALSE,0.00267533257565851,0.000345785611152677,0.00203673227341616,0.00266169429172758,0.00339151719838379,0.00263477527505607,0.00266169429172758,2.07559652403895e-06,0.00265335491995009,2.05163711889251e-06
